(221,116),(222,133),(190,154),(164,145),(245,155),(277,145),(221,183),(205,224),(189,264),(239,221),(256,263),
(220,115),(221,133),(180,153),(163,145),(246,154),(277,146),(221,184),(203,224),(189,259),(238,222),(255,260),
(222,115),(221,131),(19,152),(184,124),(246,152),(264,127),(221,184),(203,227),(189,258),(238,220),(253,259),
(221,115),(220,132),(197,152),(200,121),(244,154),(242,119),(221,184),(203,225),(188,260),(237,223),(254,257),
(221,115),(221,132),(199,151),(199,121),(244,150),(242,121),(222,183),(204,223),(190,259),(238,222),(253,259),
(221,114),(221,131),(198,151),(210,124),(245,153),(238,124),(221,184),(204,221),(188,260),(239,224),(253,260),
(220,115),(220,130),(197,154),(230,146),(246,154),(214,145),(221,184),(203,227),(189,260),(240,225),(253,260),
(221,115),(222,130),(197,154),(235,143),(245,155),(209,144),(221,186),(204,226),(190,257),(239,222),(255,260),
(220,115),(221,129),(19,154),(233,145),(245,154),(211,143),(222,184),(202,227),(189,260),(241,225),(253,259),
(220,115),(219,131),(198,154),(233,145),(244,155),(208,144),(221,184),(203,225),(188,259),(239,224),(252,259),
(221,115),(220,130),(198,153),(235,145),(243,154),(210,142),(221,186),(202,227),(189,261),(239,223),(253,259),
(220,115),(220,132),(198,153),(229,161),(244,155),(210,158),(221,187),(204,223),(189,258),(238,220),(254,262),
(220,114),(221,133),(198,153),(219,175),(246,154),(224,170),(221,182),(203,223),(190,259),(237,220),(254,261),
(221,115),(221,132),(18,154),(219,176),(245,155),(224,171),(222,182),(204,224),(189,260),(238,224),(253,259),
(220,114),(221,132),(97,154),(205,189),(246,155),(234,186),(220,187),(203,224),(189,260),(239,224),(253,258),
(221,116),(221,131),(197,154),(204,186),(245,156),(234,187),(221,185),(202,228),(188,259),(238,223),(255,260),
(220,115),(221,134),(97,154),(186,184),(246,157),(256,187),(221,187),(204,226),(189,261),(237,223),(253,260),
(221,114),(222,133),(198,152),(186,184),(247,158),(254,188),(221,187),(203,226),(189,261),(239,223),(252,259),
(221,115),(221,132),(198,156),(206,187),(245,156),(255,188),(222,186),(205,225),(190,260),(240,225),(254,261),
(221,116),(222,131),(198,151),(206,187),(246,156),(254,187),(220,186),(203,228),(190,260),(239,227),(252,259),
(221,114),(221,132),(98,155),(220,183),(245,156),(255,187),(221,185),(204,224),(189,260),(238,223),(253,260),
(221,115),(221,131),(199,155),(222,183),(247,154),(255,187),(221,186),(202,227),(189,260),(241,226),(255,261),
(221,116),(220,131),(190,142),(217,169),(246,156),(252,187),(222,184),(205,225),(189,259),(239,224),(252,260),
(221,116),(221,133),(190,143),(211,165),(246,155),(255,184),(222,186),(204,224),(191,259),(240,223),(253,260),
(221,114),(220,130),(190,140),(212,164),(245,156),(271,176),(222,185),(202,227),(191,259),(238,222),(254,260),
(220,114),(220,131),(191,143),(212,166),(245,155),(269,177),(221,183),(204,226),(187,261),(236,220),(251,260),
(220,115),(220,131),(190,140),(211,165),(248,154),(276,163),(220,185),(203,225),(190,258),(238,225),(254,259),
(221,115),(221,131),(191,142),(213,166),(254,140),(278,119),(221,185),(203,225),(190,259),(239,222),(254,258),
(220,115),(221,130),(190,142),(213,167),(253,141),(278,119),(221,185),(201,228),(189,259),(237,222),(253,259),
(221,115),(220,130),(192,142),(213,166),(252,140),(289,132),(222,184),(201,228),(189,261),(240,224),(255,260),
(221,115),(221,130),(190,142),(212,167),(251,141),(287,132),(220,184),(205,225),(188,260),(238,224),(254,260),
(220,116),(221,132),(191,141),(211,166),(248,153),(281,158),(221,186),(202,229),(188,261),(238,223),(254,261),
